name,slug,department,code_insee,post_codes,coords
Paris 2e Arrondissement,paris-2e-arrondissement-75,75,75102,['75002'],SRID=4326;POINT (2.4432 48.9073)
Paris 3e Arrondissement,paris-3e-arrondissement-75,75,75103,['75003'],SRID=4326;POINT (2.4432 48.9073)
Paris 4e Arrondissement,paris-4e-arrondissement-75,75,75104,['75004'],SRID=4326;POINT (2.4432 48.9073)
Paris 5e Arrondissement,paris-5e-arrondissement-75,75,75105,['75005'],SRID=4326;POINT (2.4432 48.9073)
Paris 6e Arrondissement,paris-6e-arrondissement-75,75,75106,['75006'],SRID=4326;POINT (2.4432 48.9073)
Paris 7e Arrondissement,paris-7e-arrondissement-75,75,75107,['75007'],SRID=4326;POINT (2.4432 48.9073)
Paris 8e Arrondissement,paris-8e-arrondissement-75,75,75108,['75008'],SRID=4326;POINT (2.4432 48.9073)
Paris 9e Arrondissement,paris-9e-arrondissement-75,75,75109,['75009'],SRID=4326;POINT (2.4432 48.9073)
Paris 10e Arrondissement,paris-10e-arrondissement-75,75,75110,['75010'],SRID=4326;POINT (2.4432 48.9073)
Paris 11e Arrondissement,paris-11e-arrondissement-75,75,75111,['75011'],SRID=4326;POINT (2.4432 48.9073)
Paris 12e Arrondissement,paris-12e-arrondissement-75,75,75112,['75012'],SRID=4326;POINT (2.4432 48.9073)
Paris 13e Arrondissement,paris-13e-arrondissement-75,75,75113,['75013'],SRID=4326;POINT (2.4432 48.9073)
Paris 14e Arrondissement,paris-14e-arrondissement-75,75,75114,['75014'],SRID=4326;POINT (2.4432 48.9073)
Paris 15e Arrondissement,paris-15e-arrondissement-75,75,75115,['75015'],SRID=4326;POINT (2.4432 48.9073)
Paris 17e Arrondissement,paris-17e-arrondissement-75,75,75117,['75017'],SRID=4326;POINT (2.4432 48.9073)
Paris 18e Arrondissement,paris-18e-arrondissement-75,75,75118,['75018'],SRID=4326;POINT (2.4432 48.9073)
Paris 19e Arrondissement,paris-19e-arrondissement-75,75,75119,['75019'],SRID=4326;POINT (2.4432 48.9073)
Paris 20e Arrondissement,paris-20e-arrondissement-75,75,75120,['75020'],SRID=4326;POINT (2.4432 48.9073)
Paris,paris-75,75,75056,"['75001','75002','75003','75004','75005','75006','75007']",SRID=4326;POINT (2.4432 48.9073)

