CODE_COM_INSEE;LIB_COM;DATE_DEB_INSEE;DATE_FIN_INSEE
01075;CHALEINS;01/01/1900;31/12/1999
01075;CHALEINS;01/01/2000;
01076;CHALEY;01/01/1900;31/12/1999
01076;CHALEY;01/01/2000;
01077;CHALLES;01/01/1900;31/12/1999
01077;CHALLES;01/01/2000;
01078;CHALLEX;01/01/1900;31/12/1999
01078;CHALLEX;01/01/2000;
01079;CHAMPAGNE-EN-VALROMEY;01/01/1900;31/12/1999
01079;CHAMPAGNE-EN-VALROMEY;01/01/2000;
01080;CHAMPDOR;01/01/1900;31/12/1999
01080;CHAMPDOR;01/01/2000;31/12/2015
01080;CHAMPDOR-CORCELLES;01/01/2016;
01081;CHAMPFROMIER;01/01/1900;31/12/1999
01081;CHAMPFROMIER;01/01/2000;
01082;CHANAY;01/01/1900;31/12/1999
01082;CHANAY;01/01/2000;
01083;CHANEINS;01/01/1900;31/12/1999
01083;CHANEINS;01/01/2000;
01084;CHANOZ-CHATENAY;01/01/1900;31/12/1999
01084;CHANOZ-CHATENAY;01/01/2000;
01085;CHAPELLE-DU-CHATELARD;01/01/1900;31/12/1999
01085;CHAPELLE-DU-CHATELARD;01/01/2000;
01087;CHARIX;01/01/1900;31/12/1999
01087;CHARIX;01/01/2000;
01088;CHARNOZ;01/01/1900;31/12/1999
01088;CHARNOZ;01/01/2000;
01089;CHATEAU-GAILLARD;01/01/1900;31/12/1999
01089;CHATEAU-GAILLARD;01/01/2000;
01090;CHATENAY;01/01/1900;31/12/1999
01090;CHATENAY;01/01/2000;
01091;CHATILLON-EN-MICHAILLE;01/01/1900;31/12/1999
01091;CHATILLON-EN-MICHAILLE;01/01/2000;
01092;CHATILLON-LA-PALUD;01/01/1900;31/12/1999
01092;CHATILLON-LA-PALUD;01/01/2000;
01093;CHATILLON-SUR-CHALARONNE;01/01/1900;31/12/1999
01093;CHATILLON-SUR-CHALARONNE;01/01/2000;
01094;CHAVANNES-SUR-REYSSOUZE;01/01/1900;31/12/1999
01094;CHAVANNES-SUR-REYSSOUZE;01/01/2000;
01095;CHAVANNES-SUR-SURAN;01/01/1900;31/12/1999
01095;CHAVANNES-SUR-SURAN;01/01/2000;
01096;CHAVEYRIAT;01/01/1900;31/12/1999
01096;CHAVEYRIAT;01/01/2000;
01097;CHAVORNAY;01/01/1900;31/12/1999
01097;CHAVORNAY;01/01/2000;
01098;CHAZEY-BONS;01/01/1900;31/12/1999
01098;CHAZEY-BONS;01/01/2000;
01099;CHAZEY-SUR-AIN;01/01/1900;31/12/1999
01099;CHAZEY-SUR-AIN;01/01/2000;
01100;CHEIGNIEU-LA-BALME;01/01/1900;31/12/1999
01100;CHEIGNIEU-LA-BALME;01/01/2000;
01101;CHEVILLARD;01/01/1900;31/12/1999
01101;CHEVILLARD;01/01/2000;
01102;CHEVROUX;01/01/1900;31/12/1999
01102;CHEVROUX;01/01/2000;
01103;CHEVRY;01/01/1900;31/12/1999
01103;CHEVRY;01/01/2000;
01104;CHEZERY-FORENS;01/01/1900;31/12/1999
01104;CHEZERY-FORENS;01/01/2000;
01105;CIVRIEUX;01/01/1900;31/12/1999
01105;CIVRIEUX;01/01/2000;
01106;CIZE;01/01/1900;31/12/1999
01106;CIZE;01/01/2000;
01107;CLEYZIEU;01/01/1900;31/12/1999
01107;CLEYZIEU;01/01/2000;
01108;COLIGNY;01/01/1900;31/12/1999
01108;COLIGNY;01/01/2000;
01109;COLLONGES;01/01/1900;31/12/1999
01109;COLLONGES;01/01/2000;
01110;COLOMIEU;01/01/1900;31/12/1999
01110;COLOMIEU;01/01/2000;31/12/2006
01110;COLOMIEU;01/01/2007;
01111;CONAND;01/01/1900;31/12/1999
01111;CONAND;01/01/2000;
01112;CONDAMINE;01/01/1900;31/12/1999
01112;CONDAMINE;01/01/2000;
01113;CONDEISSIAT;01/01/1900;31/12/1999
01113;CONDEISSIAT;01/01/2000;
01114;CONFORT;01/01/1900;31/12/1999
01114;CONFORT;01/01/2000;
01115;CONFRANCON;01/01/1900;31/12/1999
01115;CONFRANCON;01/01/2000;
01116;CONTREVOZ;01/01/1900;31/12/1999
01116;CONTREVOZ;01/01/2000;
01117;CONZIEU;01/01/1900;31/12/1999
01117;CONZIEU;01/01/2000;
01118;CORBONOD;01/01/1900;31/12/1999
01118;CORBONOD;01/01/2000;
01119;CORCELLES;01/01/1900;31/12/1999
01119;CORCELLES;01/01/2000;31/12/2015
01121;CORLIER;01/01/1900;31/12/1999
01121;CORLIER;01/01/2000;
01122;CORMARANCHE-EN-BUGEY;01/01/1900;31/12/1999
01122;CORMARANCHE-EN-BUGEY;01/01/2000;
01123;CORMORANCHE-SUR-SAONE;01/01/1900;31/12/1999
01123;CORMORANCHE-SUR-SAONE;01/01/2000;
01124;CORMOZ;01/01/1900;31/12/1999
01124;CORMOZ;01/01/2000;
01125;CORVEISSIAT;01/01/1900;31/12/1999
01125;CORVEISSIAT;01/01/2000;
01126;COUPY/BELLEGARDE-SUR-VALSE;01/01/1900;31/12/1999
01126;COUPY/BELLEGARDE-SUR-VALSE;01/01/2000;
01127;COURMANGOUX;01/01/1900;31/12/1999
01127;COURMANGOUX;01/01/2000;
01128;COURTES;01/01/1900;31/12/1999
01128;COURTES;01/01/2000;
01129;CRANS;01/01/1900;31/12/1999
01129;CRANS;01/01/2000;
01130;CRAS-SUR-REYSSOUZE;01/01/1900;31/12/1999
01130;CRAS-SUR-REYSSOUZE;01/01/2000;
01132;CREPIEUX-LA-PAPE;01/01/1900;31/12/1999
01132;CREPIEUX-LA-PAPE;01/01/2000;
01133;CRESSIN-ROCHEFORT;01/01/1900;31/12/1999
01133;CRESSIN-ROCHEFORT;01/01/2000;
01134;CROTTET;01/01/1900;31/12/1999
01134;CROTTET;01/01/2000;
01135;CROZET;01/01/1900;31/12/1999
01135;CROZET;01/01/2000;
01136;CRUZILLES-LES-MEPILLAT;01/01/1900;31/12/1999
01136;CRUZILLES-LES-MEPILLAT;01/01/2000;
01137;CUISIAT;01/01/1900;30/11/1972
01138;CULOZ;01/01/1900;31/12/1999
01138;CULOZ;01/01/2000;
01139;CURCIAT-DONGALON;01/01/1900;31/12/1999
01139;CURCIAT-DONGALON;01/01/2000;
01140;CURTAFOND;01/01/1900;31/12/1999
01140;CURTAFOND;01/01/2000;
01141;CUZIEU;01/01/1900;31/12/1999
