REFERENCE_PE,NOM,CODE_SAFIR,TYPE_SITE,REGION,LIBELLE_REGION,COMPLEMENT_ADRESSE,DC_COMPLEMENTADRSITEPHYSIQUE,ADRESSE,CODE_POSTAL,COMMUNE,DN_LATITUDE,DN_LONGITUDE
OCC1035005565,TARBES LES FORGES,65020,DDA,76,OCCITANIE,NULL,NULL,8 Avenue des Tilleuls,65000,TARBES,"43,244862","0,078586"
OCC0067005041,LOURDES,65622,ALE,76,OCCITANIE,NULL,NULL,22 AVENUE DU MARECHAL JOFFRE,65100,LOURDES,"43,094974","-0,04375"
OCC0068005396,TARBES ARSENAL,65630,ALE,76,OCCITANIE,NULL,NULL,RUE DE LA CARTOUCHERIE,65000,TARBES,"43,244507","0,079127"
OCC0132005712,Perpignan Saint Vicens,66001,ALE,76,OCCITANIE,NULL,NULL,Chemin de Saint-Gauderique,66330,CABESTANY,"42,68062","2,936711"
OCC0126005320,DT PYRENEES ORIENTALES,66004,DDA,76,OCCITANIE,NULL,Immeuble CAMCON,4 avenue Ambroise Croizat,66330,CABESTANY,"42,69295","2,93124"
OCC0128005102,APE PERPIGNAN POLYGONE,66010,ALE,76,OCCITANIE,NULL,NULL,331 rue Alphonse Beau de Rochas,66000,PERPIGNAN,"42,731916","2,897767"
OCC0140005713,Perpignan Saint Assiscle,66704,ALE,76,OCCITANIE,NULL,NULL,Rue la Vigneronne,66000,PERPIGNAN,"42,689756","2,870649"
OCC0133005395,PE PRADES,66712,ALE,76,OCCITANIE,NULL,NULL,AVENUE DE LA GARE,66500,PRADES,"42,617006","2,428488"
OCC0134006003,APE CERET,66720,ALE,76,OCCITANIE,NULL,NULL,6 rue du Barbet,66400,CERET,"42,485834","2,74785"
OCC0135005137,PE ARGELES,66751,ALE,76,OCCITANIE,NULL,LOTISSEMENT DE L OLIVERAIE,AVENUE DE MONTGAT,66700,ARGELES SUR MER,"42,551241","3,010423"
GRE0178005398,APE STRASBOURG PONT MATTHIS,67012,ALE,44,GRAND EST,NULL,NULL,2 RUE GUSTAVE ADOLPHE HIRN,67000,STRASBOURG,"48,577984","7,7345"
GRE0177006081,Strasbourg DANUBE,67013,ALE,44,GRAND EST,NULL,NULL,31 avenue du Rhin,67100,STRASBOURG,"48,571875","7,769461"
GRE0167000264,STRASBOURG DT67,67014,DDA,44,GRAND EST,NULL,NULL,24 avenue François Mitterrand,67200,STRASBOURG,"48,584614","7,693382"
GRE0001005148,DR ALSACE LAWN,67085,DRA,44,GRAND EST,NULL,NULL,27 RUE JEAN WENGER VALENTIN,67000,STRASBOURG,"48,59967","7,758557"
GRE1096000315,STRASBOURG SEYBOTH,67101,ALE,44,GRAND EST,NULL,NULL,8 rue Adolphe Seyboth,67000,STRASBOURG,"48,581818","7,739202"
GRE0181006049,Lingolsheim,67110,ALE,44,GRAND EST,NULL,Bâtiment 8,14 allée des Foulons,67380,LINGOLSHEIM,"48,557141","7,694412"
GRE0185006062,HAGUENAU,67125,ALE,44,GRAND EST,NULL,Bâtiment 4,33 Rue de la Redoute,67500,HAGUENAU,"48,81027","7,78438"
GRE0187005466,Molsheim,67133,ALE,44,GRAND EST,NULL,NULL,16 B rue Gaston Romazzotti,67120,MOLSHEIM,"48,532571","7,511"
GRE0189000237,SAVERNE,67141,ALE,44,GRAND EST,NULL,NULL,16 rue du Zornhoff,67700,SAVERNE,"48,744531","7,369189"
GRE0190005906,SELESTAT,67156,ALE,44,GRAND EST,NULL,NULL,14 rue de la Manufacture,67600,SELESTAT,"48,262959","7,444226"
GRE0192005987,WISSEMBOURG,67164,ALE,44,GRAND EST,NULL,NULL,2 rue Marie Gross Herrel,67160,WISSEMBOURG,"49,029455","7,962787"
GRE0193006016,Schiltigheim Berne,67180,ALE,44,GRAND EST,NULL,NULL,2 rue de Berne,67300,SCHILTIGHEIM,"48,612064","7,71758"
GRE0194005322,STRASBOURG MEINAU,67195,ALE,44,GRAND EST,NULL,NULL,10 RUE DU MARECHAL LEFEBVRE,67100,STRASBOURG,"48,559669","7,745964"
GRE0196005093,STRASBOURG HAUTEPIERRE,67221,ALE,44,GRAND EST,NULL,NULL,9 RUE ALFRED DE VIGNY,67200,STRASBOURG,"48,593318","7,711974"
GRE0210006014,COLMAR Europe,68006,ALE,44,GRAND EST,NULL,NULL,10 rue d'amsterdam,68000,COLMAR,"48,077301","7,326695"
GRE0206005751,APE MULHOUSE VERRIER,68014,ALE,44,GRAND EST,NULL,NULL,4 rue des Verriers,68200,MULHOUSE,"47,750282","7,30279"
GRE0205000289,MULHOUSE DROUOT,68024,ALE,44,GRAND EST,NULL,NULL,40 RUE 57E REGIMENT DE TRANSMISSIONS,68100,MULHOUSE,"47,760823","7,35834"
GRE0220005265,COLMAR LACARRE,68215,ALE,44,GRAND EST,NULL,NULL,45 RUE DE LA FECHT,68000,COLMAR,"48,08693","7,355614"
GRE0225000282,ALTKIRCH,68223,ALE,44,GRAND EST,NULL,NULL,39 AV DU 8E RGT DE HUSSARDS,68130,ALTKIRCH,"47,626027","7,226144"
GRE0211005386,APE GUEBWILLER,68231,ALE,44,GRAND EST,NULL,NULL,170 RUE DE LA REPUBLIQUE,68500,GUEBWILLER,"47,913698","7,205588"
GRE0212005752,MULHOUSE PORTE DE BALE,68246,ALE,44,GRAND EST,NULL,NULL,8 rue Zuber,68100,MULHOUSE,"47,745704","7,345128"
GRE0213005360,APE SAINT LOUIS,68254,ALE,44,GRAND EST,NULL,NULL,123 RUE DE MULHOUSE,68300,SAINT LOUIS,"47,597051","7,552749"
GRE0214005966,APE THANN,68270,ALE,44,GRAND EST,NULL,NULL,17A faubourg des Vosges,68800,THANN,"47,814335","7,09094"
GRE0215006078,MULHOUSE DOLLER,68303,ALE,44,GRAND EST,NULL,NULL,5 rue de Quimper,68200,MULHOUSE,"47,765604","7,328845"
GRE0198000317,DT HAUT RHIN,68311,DDA,44,GRAND EST,NULL,NULL,2 RUE FREDO KRUMNOV,68200,MULHOUSE,"47,746492","7,29823"
ARA0138006130,ST FONS,69003,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,61 rue Mathieu Dussurgey,69190,ST FONS,"45,712342","4,861911"
ARA0136006043,VILLEURBANNE,69014,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,41 rue Colin,69100,VILLEURBANNE,"45,773258","4,874242"
ARA0135005894,BELLEVILLE,69021,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,Rue du Bois BARON,69220,BELLEVILLE,"46,10509","4,731805"
ARA0134004001,LYON CROIX ROUSSE,69027,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,49 RUE DE CUIRE,69004,LYON,"45,778788","4,8295"
ARA0133003980,NEUVILLE,69040,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,4 AVENUE CARNOT,69250,NEUVILLE SUR SAONE,"45,885386","4,832759"
ARA0111005594,LYON ALBERT THOMAS,69050,DDA,84,AUVERGNE-RHONE-ALPES,NULL,CAT SUD,68 cours Albert Thomas,69008,LYON,"45,74652","4,867972"
ARA0152005085,VILLEFRANCHE CAMUS,69065,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,588 BOULEVARD ALBERT CAMUS,69400,VILLEFRANCHE SUR SAONE,"45,979837","4,727245"
ARA0154004087,TARARE ROSSET,69073,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,9 RUE ROSSET,69170,TARARE,"45,8944","4,435528"
ARA0157005425,GIVORS,69096,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,18 Rue Jacques Prevert,69700,GIVORS,"45,58368","4,76957"
ARA0158006040,RILLIEUX LA PAPE,69106,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,109 rue des Mercières,69140,RILLIEUX LA PAPE,"45,815128","4,884132"
ARA0159005188,CALUIRE PETITES BROSSES,69109,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,9 CHEMIN DES PETITES BROSSES,69300,CALUIRE ET CUIRE,"45,796574","4,854505"
ARA0160006054,SAINT PRIEST,69114,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,100 rue Aristide Briand,69800,ST PRIEST,"45,697006","4,925751"
ARA0161005850,VAULX EN VELIN,69122,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,1 bis Avenue Salvador ALLENDE,69120,VAULX EN VELIN,"45,781028","4,920367"
ARA0162003928,VENISSIEUX REPUBLIQUE,69130,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,27 AVENUE DE LA REPUBLIQUE,69200,VENISSIEUX,"45,707595","4,868148"
ARA0163005896,OULLINS,69153,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,18 Grande rue,69600,OULLINS,"45,720005","4,810667"
ARA0164003892,MEYZIEU REPUBLIQUE,69176,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,20 RUE DE LA REPUBLIQUE,69330,MEYZIEU,"45,766753","4,996607"
ARA0142003939,TASSIN,69184,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,3 AVENUE GENERAL BROSSET,69160,TASSIN LA DEMI LUNE,"45,757826","4,776426"
ARA0001005308,DR ARA LYON,69188,DRA,84,AUVERGNE-RHONE-ALPES,NULL,NULL,13 rue Crepet.,69007,LYON,"45,739765","4,8336"
