MESURE;CODE_DEPARTEMENT;LIBELLE_DPT;CODE_POSTAL;COMMUNE;CODE_NAF2;NATURE_JURIDIQUE;SIRET;DENOMINATION_SOCIALE;SITE WEB;ROME;APPELATION;ROME 2;APPELATION 2;ROME 3;APPELATION 3;ROME 4;APPELATION 4;ROME 5;APPELATION 5;ROME 6;APPELATION 6;ROME 7;APPELATION 7;ROME 8;APPELATION 8;ROME 9;APPELATION 9
EI;062;PAS-DE-CALAIS;62800;LIEVIN;8559A;Société à responsabilité limitée (sans autre indication);48940379000020;SARL GOHELLE ENVIRONNEMENT;;;;;;;;;;;;;;;;;;;
ETTI;062;PAS-DE-CALAIS;62000;ARRAS;7820Z;Société à responsabilité limitée (sans autre indication);50796672900117;CAP INTERIM FRANCE;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62800;LIEVIN;8810A;Association déclarée ;34280044800033;ASSOC INTER ACTION;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62500;ST OMER;8899B;Association intermédiaire ;34299070200025;ASSOC SOLIDARITE TRAVAIL;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62120;AIRE SUR LA LYS;8899B;Association déclarée ;34305511700042;ASSOC APARDE;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62300;LENS;8899B;Association intermédiaire ;35120221300051;ASSOC SAPI;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62710;COURRIERES;8810A;Association déclarée ;35215126000044;ASSOC AIAAC;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62700;BRUAY LA BUISSIERE;8899B;Association déclarée ;35402087700024;ASSOC TREMPLIN TRAVAIL SOLIDARITE;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62300;LENS;8413Z;Association intermédiaire ;38014345300039;ASSOC RELAIS TRAVAIL;;;;;;;;;;;;;;;;;;;
EI;062;PAS-DE-CALAIS;62500;ST OMER;9522Z;Association déclarée d'insertion par l'économique;38340754100101;ASSOC ENVIE NORD;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62480;LE PORTEL;7830Z;Association intermédiaire ;38353672900031;ASSOCIATION INTERM'AIDES COTE D'OPALE;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62223;ST LAURENT BLANGY;8810A;Association intermédiaire ;34748445300043;ASSOC ADSI;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62260;AUCHEL;8899B;Association déclarée ;38795027200105;ASSOC HABITAT INSERTION;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62450;BAPAUME;8899B;Association déclarée ;38745382200034;ASSOC ARTOIS INSERTION RESSOURCERIE;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62330;ISBERGUES;7810Z;Association intermédiaire ;39218092300030;ASSOC RELAIS EMPLOI ALFA;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62210;AVION;9329Z;Association déclarée ;39321207100012;ASSOC EL FOUAD;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62000;ARRAS;9499Z;Association déclarée ;82374913000014;ASSOC PREFIGURATION REGIE QUARTIER INTERCOMMUNALE;;;;;;;;;;;;;;;;;;;
EI;062;PAS-DE-CALAIS;62300;LENS;3832Z;SAS, société par actions simplifiée;84374999500018;BIO INSERTION SOCIALE ET SOLIDAIRE;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62500;ZUDAUSQUES;9609Z;Association intermédiaire ;39498213600027;ASSOC ACTE PLUS;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62720;RINXENT;7830Z;Association intermédiaire ;39759702200011;ASSOC ESPOIR LITTORAL SERVICES;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62300;LENS;8899B;Association déclarée ;34401332100056;ASSOC APSA COUP DE MAIN;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62000;ARRAS;9499Z;Association déclarée d'insertion par l'économique;39893557700039;ASSOC REGAIN;;;;;;;;;;;;;;;;;;;
EI;062;PAS-DE-CALAIS;62100;CALAIS;1071A;Société à responsabilité limitée (sans autre indication);81455602300020;PAIN ET PARTAGE CALAIS;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62480;LE PORTEL;8899B;Association déclarée ;49259088000034;ASSOC CREACTIF;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62390;AUXI LE CHATEAU;8130Z;Association déclarée d'insertion par l'économique;40382399000029;ASSOC AILES;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62100;CALAIS;8899B;Association déclarée ;40404725000018;ASSOC ENVIRONNEMENT ET SOLIDARITE;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62340;GUINES;8130Z;Association déclarée d'insertion par l'économique;40521493300047;ASSOC OPUR;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62360;ST LEONARD;8810C;Association déclarée d'insertion par l'économique;41111532200033;ASSOC RECUP TRI;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62250;MARQUISE;9104Z;Association déclarée ;38848971800022;AAEPM;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62860;ECOURT ST QUENTIN;7810Z;Association intermédiaire ;41017102900029;ASSOC SERVICES MULTIPLES AISM;;;;;;;;;;;;;;;;;;;
ETTI;062;PAS-DE-CALAIS;62300;LENS;7820Z;Société à responsabilité limitée (sans autre indication);42373532300044;SARL PARTENAIRES INTERIM;;;;;;;;;;;;;;;;;;;
EI;062;PAS-DE-CALAIS;62800;LIEVIN;8899B;Société à responsabilité limitée (sans autre indication);43871789400010;SARL PASSERELLE;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62100;CALAIS;8899B;Association déclarée ;44094281100041;ATELIERS DE LA CITOYENNETE;;;;;;;;;;;;;;;;;;;
EI;062;PAS-DE-CALAIS;62120;AIRE SUR LA LYS;3832Z;Association déclarée d'insertion par l'économique;44259611000043;ASSOC RECUP AIRE;;;;;;;;;;;;;;;;;;;
EI;062;PAS-DE-CALAIS;62250;LANDRETHUN LE NORD;4673A;SAS, société par actions simplifiée;47779781500024;SAS GROUPE CHENELET;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62100;CALAIS;7990Z;Association déclarée ;39501909400022;OPALE TOUR;;;;;;;;;;;;;;;;;;;
EI;062;PAS-DE-CALAIS;62440;HARNES;4520A;Société à responsabilité limitée (sans autre indication);49299089000039;SARL SINEO LENS;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62185;FRETHUN;9609Z;Association déclarée ;49335003700013;ASSOC SOLEIL;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62860;ECOURT ST QUENTIN;8121Z;Association déclarée d'insertion par l'économique;42965615000019;EVE;;;;;;;;;;;;;;;;;;;
EI;062;PAS-DE-CALAIS;62500;ST MARTIN LEZ TATINGHEM;3832Z;Association déclarée ;49392087000059;AUDO-TRI ( TRAVAIL RECUPERATION INSERTION );;;;;;;;;;;;;;;;;;;
EI;062;PAS-DE-CALAIS;62670;MAZINGARBE;8899B;Association déclarée ;49483773500013;ACTIV CITES;;;;;;;;;;;;;;;;;;;
ETTI;062;PAS-DE-CALAIS;62220;CARVIN;7820Z;SAS, société par actions simplifiée;40219166200376;JANUS SAS;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62330;ISBERGUES;8810C;Association déclarée ;52321176100029;ASSOC CHEMINS VERS L EMPLOI ISBERGUES;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62100;CALAIS;9499Z;Association déclarée ;53120747000026;CONCEPT INSERTION;http://www.horizonalimentaire.fr;;;;;;;;;;;;;;;;;;
EI;062;PAS-DE-CALAIS;62400;BETHUNE;1413Z;Association déclarée ;84153041300019;LES ATELIERS DE TISSE 1 LIEN;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62400;BETHUNE;8899B;Association déclarée ;82008298000021;ASSOC ARTOIS INSERTION MOBILITE EMPLOI;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62600;BERCK;7830Z;Association intermédiaire ;34302219000049;ASSOC INTER RELAIS;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62000;ARRAS;8810A;Association déclarée ;34324219400029;ASS INTERM DIGNITE EMPLOI REINSER ARTOIS;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62450;BAPAUME;8130Z;Association déclarée d'insertion par l'économique;38795095900032;ASSOC BRIF;;;;;;;;;;;;;;;;;;;
EI;062;PAS-DE-CALAIS;62400;BETHUNE;4741Z;Société par actions simplifiée à associé unique ou société par actions simplifiée unipersonnelle ;84293352500029;SIMPLON.PROD;;;;;;;;;;;;;;;;;;;
EI;062;PAS-DE-CALAIS;62700;BRUAY LA BUISSIERE;8899B;SARL coopérative ouvrière de production (SCOP);82371452200013;SARL SOLIDARITOIT;;;;;;;;;;;;;;;;;;;
EI;062;PAS-DE-CALAIS;62480;LE PORTEL;4334Z;Association déclarée ;45075404900044;ASSOC HABITAT ACTIF;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62162;VIEILLE EGLISE;9499Z;Association déclarée ;53185865200039;LES ANGES GARDINS;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62100;CALAIS;9499Z;Association déclarée ;53407265700032;ASSOC FACEVALO LITTORAL NORD PAS DE CALAIS;;;;;;;;;;;;;;;;;;;
ETTI;062;PAS-DE-CALAIS;62240;DESVRES;7820Z;SARL unipersonnelle ;80487601900022;OPALE EMPLOI;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62700;BRUAY LA BUISSIERE;8810C;Association déclarée ;40123378800025;AVIEE;;;;;;;;;;;;;;;;;;;
EI;062;PAS-DE-CALAIS;62190;LILLERS;4399C;Société par actions simplifiée à associé unique ou société par actions simplifiée unipersonnelle ;83452820000019;DECO RENOV INSERTION;;;;;;;;;;;;;;;;;;;
EI;062;PAS-DE-CALAIS;62590;OIGNIES;5610A;SAS, société par actions simplifiée;83491967200016;RESTAURANT LA LOCOMOTIVE;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62000;ARRAS;8790B;Association déclarée ;32686344600067;ASSOC LE COIN FAMILIAL;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62100;CALAIS;8899B;Association déclarée ;35384935900032;ASSOC TRAVAIL SERVICES;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62136;LESTREM;8899B;Association déclarée ;39069503900029;ASSOC REAGIR;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62218;LOISON SOUS LENS;3811Z;Association déclarée d'insertion par l'économique;39116608900022;ASSOC RECUP TRI;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62510;ARQUES;8899B;Association déclarée d'insertion par l'économique;39119119400037;ASSOC BASE;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62000;DAINVILLE;8810A;Association déclarée ;39887793600037;ASS ACHICOURT DAINVILLE SERVICES;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62500;ST OMER;8899B;Association déclarée ;41531574600032;APRT;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62170;BEUTIN;8899B;Association déclarée d'insertion par l'économique;42209269200066;ASSOC CIPRES;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62219;LONGUENESSE;8790B;Association déclarée ;31785575700108;ASSOCIATION MAHRA LE TOIT;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62310;FRUGES;8899B;Association déclarée ;33829290700031;ASSOC RELAIS EMPLOI SOLIDARITE;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62630;ETAPLES;9609Z;Association intermédiaire ;35006244400020;ASSOC INTERMEDIAIRE AGIR;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62200;BOULOGNE SUR MER;8130Z;Association déclarée ;38322126400054;ASSOC RIVAGES PROPRES;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62320;DROCOURT;8899B;Association déclarée d'insertion par l'économique;41165429600036;DIE;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62100;CALAIS;8899B;Association déclarée ;48842955600027;REGIE DE QUARTIER DE CALAIS;;;;;;;;;;;;;;;;;;;
EI;062;PAS-DE-CALAIS;62640;MONTIGNY EN GOHELLE;8899B;Association déclarée ;52378445200014;ADDS;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62217;BEAURAINS;8899B;Association déclarée ;79779890700011;LES RESTAURANTS DU COEUR;;;;;;;;;;;;;;;;;;;
EI;062;PAS-DE-CALAIS;62700;BRUAY LA BUISSIERE;3832Z;SA coopérative ouvrière de production (SCOP) à conseil d'administration;33368412400014;SCOP EBS LE RELAIS NORD PAS DE CALAIS;http://www.lerelais.org;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62760;WARLINCOURT LES PAS;7830Z;Association intermédiaire ;38763298700021;ASSOC ARTOIS TECHNIQUE SERVICES;;;;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62990;ROYON;8899B;Association déclarée d'insertion par l'économique;39820282000021;ASSOC EUREKA;;;;;;;;;;;;;;;;;;;
EI;062;PAS-DE-CALAIS;62220;CARVIN;8899B;Association déclarée ;44888767900034;REGIE DE QUARTIER IMPULSION;;;;;;;;;;;;;;;;;;;
ETTI;062;PAS-DE-CALAIS;62100;CALAIS;7820Z;Société à responsabilité limitée (sans autre indication);50796672900109;CAP INTERIM 62;http://www.capinterimfrance.fr;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62000;ARRAS;8810A;Association déclarée ;34497288000035;ASSOC MULTISERVICES A DOMICILE;https://www.asap-arras.fr/;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62200;BOULOGNE SUR MER;8899B;Association déclarée ;33894996900038;ASSOC TRAVAIL PARTAGE 62;;;;;;;;;;;;;;;;;;;
ETTI;062;PAS-DE-CALAIS;62700;BRUAY LA BUISSIERE;7820Z;SARL coopérative ouvrière de production (SCOP);40765547100057;INTERINSER 62;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62110;HENIN BEAUMONT;7830Z;Association déclarée d'insertion par l'économique;38469541700038;ASSOC SAPIH INSERTION;;;;;;;;;;;;;;;;;;;
ETTI;062;PAS-DE-CALAIS;62700;BRUAY LA BUISSIERE;7820Z;Société à responsabilité limitée (sans autre indication);40854322100050;SARL INSERTIM;https://facebook.com/insertim.bruay;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62650;HUCQUELIERS;7830Z;Association intermédiaire ;38269518700049;ASSOC ESPOIR;http://www.espoir62.com/;;;;;;;;;;;;;;;;;;
ACI;067;BAS-RHIN;67100;STRASBOURG;8899B;Association de droit local (Bas-Rhin, Haut-Rhin et Moselle);77564183000440;ASSOC ARSEA;www.arsea.fr; ;;;;;;;;;;;;;;;;;
ACI;067;BAS-RHIN;67360;WOERTH;8899B;Association déclarée ;34471845700049;UTILECO CHANTIERS;www.utileco.alsace;A1201;Ouvrier / Ouvrière d'exploitation forestière;;;;;;;;;;;;;;;;
ACI;067;BAS-RHIN;67590;SCHWEIGHOUSE SUR MODER;3831Z;Association déclarée d'insertion par l'économique;41822438200022;APOIN;www.apoin.fr;A1202;Agent / Agente d'entretien des espaces naturels;K2303;Agent / Agente de collecte de déchets;;;;;;;;;;;;;;
ACI;067;BAS-RHIN;67600;MUTTERSHOLTZ;8413Z;Association de droit local (Bas-Rhin, Haut-Rhin et Moselle);35050349600027;SAVA SECTION AMENAGEMENT VEGETAL ALSACE;www.sava-association.com;A1202;Agent / Agente d'entretien de l'espace rural;;;;;;;;;;;;;;;;
EI;067;BAS-RHIN;67600;MUTTERSHOLTZ;7010Z;Société à responsabilité limitée (sans autre indication);38244586400020;SARL GROUPE A5;;A1203;Ouvrier / Ouvrière d'entretien des espaces verts;;;;;;;;;;;;;;;;
EI;067;BAS-RHIN;67790;STEINBOURG;8299Z;Société par actions simplifiée à associé unique ou société par actions simplifiée unipersonnelle ;38950543900023;ENTRAIDE EMPLOI INDUSTRIE ENVIRONNEMENT;www.entraide-emploi.com;A1203;Ouvrier / Ouvrière d'entretien des espaces verts;H3302;Agent / Agente de finition main et de conditionnement;;;;;;;;;;;;;;
AI;067;BAS-RHIN;67230;BENFELD;7830Z;Association intermédiaire ;34117740000072;ASSOC REAGIR;;A1203;Jardinier / Jardinière d'espaces verts;K1303;Agent spécialisé / Agente spécialisée des écoles maternelle;K1304;Aide ménager / ménagère à domicile;;;;;;;;;;;;
EI;067;BAS-RHIN;67114;ESCHAU;8130Z;Autre SA coopérative à conseil d'administration ;32740819100036;SCOP ESPACES VERTS;www.scop-espaces-verts.fr/;A1203;OUVRIER - OUVRIERE DU PAYSAGE;;;;;;;;;;;;;;;;
AI;067;BAS-RHIN;67000;STRASBOURG;8899B;Association déclarée ;39847186200019;ASSOC GERMA AI;;A1404;Ouvrier / Ouvrière horticole;M1602;Agent administratif / Agente administrative;M1603;Facteur / Factrice;I1203;Agent / Agente d'entretien du bâtiment;K2204;Agent / Agente d'entretien/propreté de locaux;N1105;Manutentionnaire;H2102;Agent(e) de production/fabrication en industrie alimentaire;;;;
EI;067;BAS-RHIN;67000;STRASBOURG;0113Z;SA d'intérêt collectif agricole (SICA) à conseil d'administration;83485610600010;"SCIC SA ""COOPERATIVE DE LA FERME SAINT ANDRE""";www.fermesaintandre.com;A1416;Ouvrier agricole polyvalent / Ouvrière agricole polyvalente;N4105;Chauffeur-livreur / Chauffeuse-livreuse;;;;;;;;;;;;;;
EI;067;BAS-RHIN;67240;OBERHOFFEN SUR MODER;8899B;Société à responsabilité limitée (sans autre indication);51458691600025;PRESTA TERRE;;A1416;Ouvrier agricole polyvalent / Ouvrière agricole polyvalente;A1203;Ouvrier polyvalent espaces verts et forestiers;N1105;agent de tri et de manutention;M1605;Assistant Administratif;;;;;;;;;;
ACI;067;BAS-RHIN;67200;STRASBOURG;9499Z;Association de droit local (Bas-Rhin, Haut-Rhin et Moselle);44068763000051;LES JARDINS DE LA MONTAGNE VERTE;;A1416;Ouvrier agricole polyvalent / Ouvrière agricole polyvalente;G1602;Aide de Cuisine;K2304;agent de collecte et de tri;N4105;Chauffeur(se)-livreur(se) préparateur(trice) de commande;F1607;Aide menuisier(ère);N1103;Préparateur / Préparatrice de commandes;D1106;Vendeur / Vendeuse en produits biologiques;I1604;Technicien / Technicienne en maintenance automobile;;
ETTI;067;BAS-RHIN;67000;STRASBOURG;7820Z;Association déclarée d'insertion par l'économique;42414308900045;GERMA ETTI;www.laser-emploi.fr/germa;A1416;Agent de tri manuel épi de maïs après récolte;K2204;Agent d'entretien des locaux;A1203;Ouvrier / Ouvrière des espaces verts;M1603;Facteur / Factrice;F1704;Ouvrier de chantier;H2102;Agent(e) de production/fabrication en industrie alimentaire;A1409;Ouvrier / Ouvrière avicole;H3302;Opérateur de production polyvalents;N1105;manutentionnaires
EI;067;BAS-RHIN;67200;STRASBOURG;9522Z;Association déclarée ;33054217600046;ASSOC ENVIE STRASBOURG;www.envie.org;D1212;Vendeur / Vendeuse en électroménager;N1103;Aide-magasinier / Aide-magasinière;N4105;Chauffeur-livreur / Chauffeuse-livreuse;I1402;Aide réparateur;;;;;;;;;;
ETTI;067;BAS-RHIN;67100;STRASBOURG;7820Z;Société à responsabilité limitée (sans autre indication);50088443200013;OVALIE SAS;http://ovalie-interim.com/;F1603;Facteur / Factrice;k2204;Agent / Agente d'entretien/propreté de locaux;M1601;Assistant d'accueil;N1101;Cariste;N4105;chauffeur livreur;H3302;Agent de production;M1607;ASSISTANT(E)ADMINISTRATIF(VE;N1103;Magasinier;N1105;Manutentionnaire
ACI;067;BAS-RHIN;67160;WISSEMBOURG;8411Z;Commune et commune nouvelle ;21670544200012;COM DE WISSEMBOURG;www.ville-wissembourg.eu;F1704;Manoeuvre bâtiment;;;;;;;;;;;;;;;;
ACI;067;BAS-RHIN;67200;STRASBOURG;8899B;Association déclarée d'insertion par l'économique;42021353000025;ASSOC LIBRE OBJET;www.libreobjet.com/fr/;H2201;Assembleur(se) d'ouvrages en bois et matériaux associés;B1803;Couturier / Couturière;N1103;Agent magasinier / Agente magasinière gestionnaire de stocks;;;;;;;;;;;;
EI;067;BAS-RHIN;67590;SCHWEIGHOUSE SUR MODER;8299Z;Société à responsabilité limitée (sans autre indication);42020313500033;SARL INDUSTRIE SERVICE;www.industrieservice67.fr;H2929;Agent / Agente de production de montage-assemblage mécanique;F1502;Monteur / Monteuse en échafaudage;;;;;;;;;;;;;;
EI;067;BAS-RHIN;67200;STRASBOURG;8292Z;SA à conseil d'administration (s.a.i.);42433786300031;SA SISTRA;www.sistra.fr;H3302;Opérateur(trice) de production;;;;;;;;;;;;;;;;
ACI;067;BAS-RHIN;67660;BETSCHDORF;8899B;Association déclarée d'insertion par l'économique;41822382200036;ASSOC MOBILEX;www.asso-mobilex.org;I1203;Agent / Agente d'entretien du bâtiment;H2911;Aide métallier serrurier;I1604;Aide mécanicien;I1607;Mécanicien(ne)-réparateur(trice) de cycles et motocycles;;;;;;;;;;
ACI;067;BAS-RHIN;67200;STRASBOURG;8899B;Association de droit local (Bas-Rhin, Haut-Rhin et Moselle);77887070900038;CTRE SOCIAL ET CULTUREL VICTOR SCHOELCHER;http://cscvictorschoelcher.centres-sociaux.fr;I1203;Agent / Agente d'entretien des collectivités;;;;;;;;;;;;;;;;
ACI;067;BAS-RHIN;67400;ILLKIRCH GRAFFENSTADEN;8810C;Association de droit local (Bas-Rhin, Haut-Rhin et Moselle);47897787900020;ASSOC SAVOIR ET COMPETENCE;;I1203;Ouvrier polyvalent/ouvrière polyvalente d'entretien;;;;;;;;;;;;;;;;
ACI;067;BAS-RHIN;67300;SCHILTIGHEIM;9499Z;Association de droit local (Bas-Rhin, Haut-Rhin et Moselle);41004342600031;HUMANIS;www.humanis.org;I1307;Agent technique - graphiste;E1107;AGENT TECHNIQUE EVENEMENTIEL;E1104;Agent/Agente technique multimédia;K2204;Agent / Agente d'entretien/propreté de locaux;N1103;Agent technique logistique;M1602;Agent/ Agente administratif (Services aux associations);E1103;Agent technique multimédia;I1401;Agent technique informatique;M1805;Développeur / Développeuse web
EI;067;BAS-RHIN;67118;GEISPOLSHEIM;4520A;Société à responsabilité limitée (sans autre indication);80325767400033;ALNEVE;www.sineo.fr/;I1604;Préparateur de véhicules / mécanicien;;;;;;;;;;;;;;;;
ACI;067;BAS-RHIN;67450;MUNDOLSHEIM;8790B;Association déclarée, reconnue d'utilité publique;48140791400011;ASSOC CHANTIER INSERTION EMMAUS;www.emmaus-mundo.com;I1607;Agent de Mécanique Cycles;K2304;Agent / Agente de tri des matériaux;N4105;Chauffeur Convoyeur;D1214;Vendeur / Vendeuse en prêt-à-porter;M1601;Agent d'accueil logistique;;;;;;;;
AI;067;BAS-RHIN;67120;MOLSHEIM;7830Z;Association intermédiaire ;34535693500022;ASSOC SERVIR;www.servirplus.com;K1304;Aide ménager / ménagère à domicile;;;;;;;;;;;;;;;;
EI;067;BAS-RHIN;67000;STRASBOURG;8810A;Association de droit local (Bas-Rhin, Haut-Rhin et Moselle);34204168800033;ASSOC ARASC;www.arasc.fr;K1304;Aide à domicile;N4102;Chauffeur(se) accompagnateur(trice) pers à mobilité réduite; ; ;;;;;;;;;;;;
AI;067;BAS-RHIN;67500;HAGUENAU;8810A;Association intermédiaire ;34232310200026;UTILECO SERVICES;;K2204;Technicien / Technicienne de surface;;;;;;;;;;;;;;;;
ACI;067;BAS-RHIN;67700;MONSWILLER;7830Z;Association de droit local (Bas-Rhin, Haut-Rhin et Moselle);35058476900029;ASSOCIATION ENTRAIDE EMPLOI;www.entraide-emploi.com/;K2204;Ouvrier nettoyeur / Ouvrière nettoyeuse de locaux;A1203;Ouvrier / Ouvrière d'entretien des espaces verts;;;;;;;;;;;;;;
AI;067;BAS-RHIN;67000;STRASBOURG;7830Z;Association intermédiaire ;37859903900039;ASSOC LOGISERVICES;;K2204;Agent/agente d'entretien de netoyage indisutriel;A1203;Ouvrier/ouvriere d'entretien des espaces verts;;;;;;;;;;;;;;
EI;067;BAS-RHIN;67200;STRASBOURG;8121Z;Association de droit local (Bas-Rhin, Haut-Rhin et Moselle);39394905200038;ASSOC CRENO;www.creno-services.fr;K2204;Agent(e) de Service;;;;;;;;;;;;;;;;
EI;067;BAS-RHIN;67000;STRASBOURG;8129B;Autre SARL coopérative ;39132870500036;SCOP AU PORT UNES;www.auportunes.com;K2204;Agent(e) de service;;;;;;;;;;;;;;;;
EI;067;BAS-RHIN;67380;LINGOLSHEIM;8121Z;Association déclarée d'insertion par l'économique;41263246500032;ASSOC EMI INTER;www.emi67.fr;K2204;Agent(e) d'entretien;A1203;Agent(e) d'entretien des espaces verts;K2303;Agent(e) d'entretien urbain;;;;;;;;;;;;
ACI;067;BAS-RHIN;67100;STRASBOURG;8899B;Association de droit local (Bas-Rhin, Haut-Rhin et Moselle);30461498500139;ASSOC HORIZON AMITIE;www.horizonamitie.fr;K2204;Agent / Agente d'entretien/propreté de locaux;K2303;Agent / Agente d'entretien et de nettoyage urbain;I1203;Agent / Agente d'entretien du bâtiment;N4105;Agent de collecte Polyvalent chauffeur Livreur;F1606;Peintre en bâtiment;;;;;;;;
EI;067;BAS-RHIN;67200;STRASBOURG;8122Z;Association déclarée d'insertion par l'économique;39149316000033;ASSOC ELSAU NET STRASBOURG;www.elsaunet.fr;K2205;Agent(e) de Service;;;;;;;;;;;;;;;;
EI;067;BAS-RHIN;67100;STRASBOURG;8899B;Association déclarée ;38485031900045;ASSOC MEINAU SERVICES STRASBOURG;www.meinauservices.com;K2303;"Opérateur(trice) de quartier ""nettoyage des espaces extérieur";K2204;Opérateur de quartier nettoyage de locaux;A1203;Opérateur(trice) de quartier espaces verts;;;;;;;;;;;;
EI;067;BAS-RHIN;67300;SCHILTIGHEIM;8899B;SAS, société par actions simplifiée;38827618000022;REGIE DES ECRIVAINS;www.regiedesecrivains.com;K2303;Agent(e) d'entretien en voirie;K2204;Agent / Agente d'entretien/propreté de locaux;A1203;Ouvrier / Ouvrière d'entretien des espaces verts;;;;;;;;;;;;
EI;067;BAS-RHIN;67100;STRASBOURG;8121Z;SA coopérative ouvrière de production (SCOP) à conseil d'administration;43474850500014;SCOPROBAT;www.scoprobat.fr;K2303;Agent de Propreté;A1203;Agent espaces verts polyvalent;F1606;Peintre en Bâtiment;J1301;Agent de Service;;;;;;;;;;
EI;067;BAS-RHIN;67200;STRASBOURG;3832Z;SAS, société par actions simplifiée;49266165700014;SAS ENVIE 2E ALSACE;www.envie.org;k2304;Opérateur(trice) de récyclage;K2204;Agent / Agente d'entretien/propreté de locaux;N4101;Chauffeur poids lourd ou super lourd;I1402;aide réparateur;;;;;;;;;;
