MESURE;CODE_DEPARTEMENT;LIBELLE_DPT;CODE_POSTAL;COMMUNE;CODE_NAF2;NATURE_JURIDIQUE;SIRET;DENOMINATION_SOCIALE;SITE WEB;ROME;APPELATION;ROME 2;APPELATION 2;ROME 3;APPELATION 3;ROME 4;APPELATION 4;ROME 5;APPELATION 5;ROME 6;APPELATION 6;ROME 7;APPELATION 7;ROME 8;APPELATION 8;ROME 9;APPELATION 9
EI;093;SEINE-SAINT-DENIS;93100;MONTREUIL;5510Z;SAS, société par actions simplifiée;80746931700026;BALUCHON - A TABLE CITOYENS;http://www.baluchon.fr;G1502;Agent polyvalent(e) d'hôtellerie - entretien & blanchisseri;;;;;;;;;;;;;;;;
EI;093;SEINE-SAINT-DENIS;93500;PANTIN;5610A;Autre SA coopérative à conseil d'administration ;39382722500011;ASSOC RELAIS RESTAURATION;http://www.lerelaisrestauration.com;G1602;Commis / Commise de cuisine;G1803;Commis de Salle;M1203;Assistant(e) administratif(ve) et comptable;;;;;;;;;;;;
ACI;093;SEINE-SAINT-DENIS;93140;BONDY;9499Z;Association déclarée ;39758222200055;LA MARMITE;http://www.asso-lamarmite.org;G1602;Aide cuisinier;G1603;Employé polyvalent / Employée polyvalente de restauration;;;;;;;;;;;;;;
ACI;093;SEINE-SAINT-DENIS;93300;AUBERVILLIERS;9499Z;Association déclarée ;48191328300026;TAF ET MAFFE;;G1603;Employé polyvalent / Employée polyvalente de restauration;;;;;;;;;;;;;;;;
ACI;093;SEINE-SAINT-DENIS;93300;AUBERVILLIERS;8559A;Association déclarée, reconnue d'utilité publique;78475328700217;ASSOC MAISONS D ACCUEIL L ILOT;;G1603;Employé polyvalent / Employée polyvalente de restauration;;;;;;;;;;;;;;;;
ACI;093;SEINE-SAINT-DENIS;93300;AUBERVILLIERS;8899B;Association déclarée ;79285470500029;INITIATIVES SOLIDAIRES;;G1603;Employé polyvalent / Employée polyvalente de restauration;K2304;Opérateur(trice) de tri en récupération et revalorisation;G1502;Employé polyvalent / Employée polyvalente d'hôtellerie;;;;;;;;;;;;
ACI;093;SEINE-SAINT-DENIS;93600;AULNAY SOUS BOIS;9499Z;Association déclarée ;43223439100030;ASSOC FEMMES RELAIS;;G1603;Employé polyvalent / Employée polyvalente de restauration;;;;;;;;;;;;;;;;
ACI;093;SEINE-SAINT-DENIS;93100;MONTREUIL;9499Z;Association déclarée ;79798856500025;RESTAURANT ASSOCIATIF DU NOUVEAU CENTENAIRE;;G1603;Employé polyvalent / Employée polyvalente de restauration;;;;;;;;;;;;;;;;
ACI;093;SEINE-SAINT-DENIS;93200;ST DENIS;9499Z;Association déclarée ;48191328300018;ASSOC TAF ET MAFFE;;G1603;Employé polyvalent / Employée polyvalente de restauration;;;;;;;;;;;;;;;;
EI;093;SEINE-SAINT-DENIS;93230;ROMAINVILLE;5621Z;SAS, société par actions simplifiée;80746931700018;BALUCHON A TABLE CITOYENS;http://www.baluchon.fr;G1603;Employé polyvalent / Employée polyvalente de restauration;M1604;assistant/assistante à la direction;D1401;Assistant gestion des ventes / Assistante gestion des ventes;G1602;Employé polyvalent / Employée polyvalente de restauration;G1502;Agent(e) d'hotellerie - Réceptionniste - Vendeur/Vendeuse;N4105;Chauffeur(se)-livreur(se) préparateur(trice) de commande;M1501;Assistant commercial / Assistante commerciale;;;;
